id,name,description,category,image_url,location,period,how_lived
woolly-mammoth,Woolly Mammoth,"Large furry Ice Age mammal that lived on cold grasslands; known for long tusks and thick coat",Mammal,https://picsum.photos/seed/woolly-mammoth/800/600,Arctic Steppe,Ice Age,"Grazed on grasses in cold open plains with a heavy woolly coat"
archaeopteryx,Archaeopteryx,"Early flying feathered reptile that linked dinosaurs and birds",Bird,https://picsum.photos/seed/archaeopteryx/800/600,Jurassic Forests,Jurassic,"Lived in forests and used feathered wings for short glides and hunting insects"
triceratops,Triceratops,"Herbivorous dinosaur with three horns and a strong protective frill",Dinosaur,https://picsum.photos/seed/triceratops/800/600,Late Cretaceous Plains,Late Cretaceous,"Roamed open plains in herds and used horns to defend against predators"
dodo,Dodo,"Flightless bird from Mauritius known for being easy to approach and now extinct",Bird,https://picsum.photos/seed/dodo/800/600,Indian Ocean Island,17th Century,"Foraged on the forest floor for fruit and seeds on a small island"
giant-ground-sloth,Giant Ground Sloth,"Slow-moving mammal with long claws that lived in South American forests",Mammal,https://picsum.photos/seed/giant-ground-sloth/800/600,South America,Ice Age,"Used long claws to pull down branches and leaves while moving slowly through forests"
passenger-pigeon,Passenger Pigeon,"Once extremely common bird in North America that disappeared in the early 1900s",Bird,https://picsum.photos/seed/passenger-pigeon/800/600,North American Woods,19th Century,"Formed huge flocks and fed on seeds and berries in forests"
saber-toothed-cat,Saber-Toothed Cat,"Large predatory mammal with long canine teeth that hunted prehistoric herbivores",Mammal,https://picsum.photos/seed/saber-toothed-cat/800/600,Ice Age Savannah,Ice Age,"Hunted large grazing animals using powerful front legs and long teeth"
giant-lemur,Giant Lemur,"Large tree-dwelling primate from Madagascar with a slow and gentle lifestyle",Mamal,https://picsum.photos/seed/giant-lemur/800/600,Madagascar Forest,Holocene,"Moved slowly among forest trees eating leaves and fruit"
tylacine,Thylacine,"Striped marsupial predator also called the Tasmanian tiger, last seen in the 20th century",Mammal,https://picsum.photos/seed/thylacine/800/600,Tasmania,20th Century,"Hunted small animals at night in Tasmania’s forests and grasslands"
ichthyosaur,Ichthyosaur,"Marine reptile shaped like a dolphin that lived in oceans during the age of dinosaurs",Marine Reptile,https://picsum.photos/seed/ichthyosaur/800/600,Mesozoic Seas,Mesozoic,"Lived in the ocean and chased fish with a sleek body and strong tail"
